headword,best_translation,alternatives,forms,examples,notes,transcription
взгляд,glance,glances|glanced|glancing,взгляд,с первого взгляда=>at a glance,,
беглый взгляд,glance,glances|glanced|glancing,беглый взгляд,с первого взгляда=>at a glance,,
шёпот,whisper,whispers|whispered|whispering,шёпот,тихий шёпот=>a faint whisper,,
шептать,whisper,whispers|whispered|whispering,шептать,тихий шёпот=>a faint whisper,,
мрак,gloom,,мрак,во мраке=>in the gloom,,
уныние,gloom,,уныние,во мраке=>in the gloom,,
полумрак,gloom,twilight,полумрак,во мраке=>in the gloom||в сумерках=>at twilight,,
луг,meadow,meadows,луг,зелёный луг=>green meadow,,
поляна,meadow,meadows,поляна,зелёный луг=>green meadow,,
фонарь,lantern,lanterns,фонарь,свет фонаря=>lantern light,,
лампа,lantern,lanterns,лампа,свет фонаря=>lantern light,,
берег,shore,shores,берег,каменистый берег=>rocky shore,,
побережье,shore,shores,побережье,каменистый берег=>rocky shore,,
бродить,wander,wanders|wandered|wandering,бродить,бродить по лесу=>wander through the forest,,
скитаться,wander,wanders|wandered|wandering,скитаться,бродить по лесу=>wander through the forest,,
судьба,fate,,судьба,поворот судьбы=>twist of fate,,
рок,fate,,рок,поворот судьбы=>twist of fate,,
нежный,gentle,gentler|gentlest,нежный,нежный голос=>gentle voice,,
мягкий,gentle,gentler|gentlest,мягкий,нежный голос=>gentle voice,,
ласковый,gentle,gentler|gentlest,ласковый,нежный голос=>gentle voice,,
печаль,sorrow,,печаль,глубокая печаль=>deep sorrow,,
горе,sorrow,,горе,глубокая печаль=>deep sorrow,,
скорбь,sorrow,,скорбь,глубокая печаль=>deep sorrow,,
рассвет,dawn,,рассвет,до рассвета=>before dawn,,
заря,dawn,,заря,до рассвета=>before dawn,,
сумерки,twilight,,сумерки,в сумерках=>at twilight,,
