headword,best_translation,alternatives,forms,examples,notes,transcription
установка,plant,plants|installations|machines,установка,,,
завод,plant,plants,завод,,,
должен,shall,should|must,должен,,,
следует,shall,should,следует,,,
требование,requirement,requirements|rules|requests,требование,,,
условие,requirement,requirements,условие,,,
конфигурация,configuration,configurations|profiles,конфигурация,,,
настройка,configuration,configurations|parameters,настройка,,,
EPICS,epics,,EPICS,,,
система EPICS,epics,,система EPICS,,,
имя,name,names,имя,,,
название,name,names,название,,,
управление,control,controls|management,управление,,,
контроль,control,controls,контроль,,,
функция,function,functions|features,функция,,,
назначение,function,functions|roles|purposes,назначение,,,
файл,file,files,файл,,,
документ,file,files|documents,документ,,,
будет,will,,будет,,,
станет,will,,станет,,,
интерфейс,interface,interfaces,интерфейс,,,
связь,interface,interfaces|communications,связь,,,
иметь,have,has|had|having,иметь,,,
обладать,have,has|had|having,обладать,,,
модуль,unit,units|modules|library|libraries,модуль,,,
блок,unit,units,блок,,,
уровень,level,levels,уровень,,,
ступень,level,levels,ступень,,,
SDD,sdd,,SDD,,,
самоописание системы,sdd,,самоописание системы,,,
инсталляция,installation,installations,инсталляция,,,
команда,command,commands,команда,,,
оператор,command,commands|operators|users,оператор,,,
каталог,directory,directories,каталог,,,
директория,directory,directories,директория,,,
программное обеспечение,software,,программное обеспечение,,,
ПО,software,,ПО,,,
проект,project,projects,проект,,,
сборка,project,projects|builds,сборка,,,
быстрый,fast,smoke,быстрый,,,
скоростной,fast,,скоростной,,,
безопасность,safety,security,безопасность,,,
защита,safety,security,защита,,,
контроллер,controller,controllers,контроллер,,,
управляющее устройство,controller,controllers,управляющее устройство,,,
IOC,ioc,iocs,IOC,,,
контроллер ввода-вывода,ioc,iocs,контроллер ввода-вывода,,,
определенный,defined,define,определенный,,,
заданный,defined,define|provided|provide|provides|specified|specify|specifies,заданный,,,
PBS,pbs,,PBS,,,
структура верхнего уровня,pbs,,структура верхнего уровня,,,
спецификация,specification,specifications,спецификация,,,
техническое описание,specification,specifications,техническое описание,,,
сеть,network,networks,сеть,,,
сетевое соединение,network,networks,сетевое соединение,,,
устройство,device,devices,устройство,,,
прибор,device,devices,прибор,,,
поддержка,support,supports|supported|supporting,поддержка,,,
сопровождение,support,supports|supported|supporting|maintenance,сопровождение,,,
следующий,following,next,следующий,,,
приведенный ниже,following,,приведенный ниже,,,
требовать,require,requires|required|requiring,требовать,,,
нуждаться,require,requires|required|requiring,нуждаться,,,
разработка,development,develop,разработка,,,
создание,development,develop,создание,,,
каждый,each,,каждый,,,
для каждого,each,,для каждого,,,
аварийный сигнал,alarm,alarms,аварийный сигнал,,,
тревога,alarm,alarms,тревога,,,
описание,description,descriptions|documentation,описание,,,
характеристика,description,descriptions,характеристика,,,
CCS,ccs,,CCS,,,
CODAC Core System,ccs,,CODAC Core System,,,
один,one,,один,,,
единый,one,,единый,,,
под,under,,под,,,
в рамках,under,,в рамках,,,
разбиение,breakdown,breakdowns,разбиение,,,
декомпозиция,breakdown,breakdowns,декомпозиция,,,
RPM,rpm,rpms|package rpm,RPM,,,
пакет RPM,rpm,rpms|package rpm,пакет RPM,,,
аппаратное обеспечение,hardware,,аппаратное обеспечение,,,
оборудование,hardware,equipment,оборудование,,,
там,there,,там,,,
существует,there,,существует,,,
только,only,,только,,,
лишь,only,,лишь,,,
также,also,,также,,,
кроме того,also,,кроме того,,,
операция,operation,operations,операция,,,
работа,operation,operations,работа,,,
переменная,variable,variables,переменная,,,
параметр,variable,variables|parameters,параметр,,,
система,system,systems,система,,,
комплекс,system,systems,комплекс,,,
питание,power,,питание,,,
мощность,power,,мощность,,,
состояние,state,states|statuses|health,состояние,,,
режим,state,states|modes,режим,,,
новый,new,,новый,,,
дополнительный,new,additional,дополнительный,,,
когда,when,,когда,,,
при,when,,при,,,
сигнал,signal,signals,сигнал,,,
показание,signal,signals,показание,,,
значение,value,values,значение,,,
величина,value,values,величина,,,
пакет,package,packages,пакет,,,
комплект,package,packages,комплект,,,
калибровка,calibration,calibrations,калибровка,план калибровки=>calibration plan,,
тарировка,calibration,calibrations,тарировка,,,
блокировка,interlock,interlocks,блокировка,защитная блокировка=>safety interlock,,
межблокировка,interlock,interlocks,межблокировка,,,
список,list,lists,список,,,
перечень,list,lists,перечень,,,
эти,these,,эти,,,
данные,these,,данные,,,
обязан,must,,обязан,,,
канал,channel,channels|signal|signals,канал,,,
тракт,channel,channels,тракт,,,
вы,you,,вы,,,
пользователь,you,operators|users,пользователь,,,
Maven-команда,mvn,,Maven-команда,,,
команда Maven,mvn,,команда Maven,,,
тип,type,types,тип,,,
вид,type,types|view|views,вид,,,
категория,category,categories,категория,,,
класс,category,categories,класс,,,
инструмент,tool,tools,инструмент,,,
утилита,tool,tools|programs,утилита,,,
корень,root,,корень,,,
корневой пользователь,root,,корневой пользователь,,,
концептуальный,conceptual,,концептуальный,,,
логический,conceptual,,логический,,,
время,time,,время,,,
тайминг,time,,тайминг,,,
проектирование,design,,проектирование,,,
конструкция,design,,конструкция,,,
SDN,sdn,,SDN,,,
синхронная сеть данных,sdn,,синхронная сеть данных,,,
аппаратура,equipment,,аппаратура,,,
