headword,best_translation,alternatives,forms,examples,notes,transcription
plant,установка,завод,plants,,,
shall,должен,следует,shall,,,
requirement,требование,условие,requirements,,,
configuration,конфигурация,настройка,configurations,,,
epics,EPICS,система EPICS,epics,,Стандартный набор средств для управления и обмена процессными переменными.,
name,имя,название,names,,,
should,следует,должен,should,,,
control,управление,контроль,controls,,В технических документах обычно означает управление системой.,
function,функция,назначение,functions,,,
file,файл,документ,files,,,
will,будет,станет,will,,,
interface,интерфейс,связь,interfaces,,,
have,иметь,обладать,have|has|had|having,,,
unit,модуль,блок,units,,,
level,уровень,ступень,levels,,,
sdd,SDD,самоописание системы,sdd,,Self-Description Data.,
installation,установка,инсталляция,installations,,,
command,команда,оператор,commands,,,
directory,каталог,директория,directories,,,
software,программное обеспечение,ПО,software,,,
project,проект,сборка,projects,,,
fast,быстрый,скоростной,fast,,,
safety,безопасность,защита,safety,,,
controller,контроллер,управляющее устройство,controllers,,,
ioc,IOC,контроллер ввода-вывода,iocs,,Input/Output Controller.,
defined,определенный,заданный,define,,defines,
pbs,PBS,структура верхнего уровня,pbs,,,
specification,спецификация,техническое описание,specifications,,,
network,сеть,сетевое соединение,networks,,,
device,устройство,прибор,devices,,,
support,поддержка,сопровождение,support|supports|supported|supporting,,,
following,следующий,приведенный ниже,following,,,
require,требовать,нуждаться,require|requires|required|requiring,,,
development,разработка,создание,develop,,developed,
each,каждый,для каждого,each,,,
alarm,аварийный сигнал,тревога,alarms,,,
description,описание,характеристика,descriptions,,described,
ccs,CCS,CODAC Core System,ccs,,,
one,один,единый,one,,,
under,под,в рамках,under,,,
breakdown,разбиение,декомпозиция,breakdowns,,,
rpm,RPM,пакет RPM,rpms,,,
hardware,аппаратное обеспечение,оборудование,hardware,,,
there,там,существует,there,,,
only,только,лишь,only,,,
also,также,кроме того,also,,,
operation,операция,работа,operations,,,
variable,переменная,параметр,variables,,,
system,система,комплекс,systems,,,
power,питание,мощность,power,,powered,
state,состояние,режим,states,,,
new,новый,дополнительный,new,,,
when,когда,при,when,,,
signal,сигнал,показание,signals,,,
value,значение,величина,values,,,
package,пакет,комплект,packages,,,
calibration,калибровка,тарировка,calibrations,,,
interlock,блокировка,межблокировка,interlocks,,,
list,список,перечень,lists,,listed,
these,эти,данные,these,,,
must,должен,обязан,must,,,
channel,канал,тракт,channels,,,
you,вы,пользователь,you,,,
mvn,Maven-команда,команда Maven,mvn,,,
type,тип,вид,types,,,
category,категория,класс,categories,,,
tool,инструмент,утилита,tools,,,
root,корень,корневой пользователь,root,,,
conceptual,концептуальный,логический,conceptual,,,
time,время,тайминг,time,,,
design,проектирование,конструкция,design,,designed,
sdn,SDN,синхронная сеть данных,sdn,,,
equipment,оборудование,аппаратура,equipment,,,
dan,DAN,архив данных диагностики,dan,,,
access,доступ,подключение,access,,accessible,
install,установить,инсталлировать,install|installs|installed|installing|installation,,,
test,тест,испытание,tests,,testing,
default,по умолчанию,стандартный,default,,,
source,источник,исходный код,sources,,,
editor,редактор,редактор данных,editors,,,
diagnostic,диагностика,диагностический модуль,diagnostics,,,
maven,Maven,система сборки Maven,maven,,,
standard,стандарт,норма,standards,,,
maintenance,обслуживание,сопровождение,maintenance,,,
cubicle,шкаф,кубикл,cubicles,,,
release,релиз,выпуск,releases,,,
high,высокий,повышенный,high,,,
available,доступный,имеющийся,available,,,
process,процесс,обработка,process|processes|processed|processing,,,
output,выход,вывод,outputs,,,
monitoring,мониторинг,наблюдение,monitor,,monitored,
central,центральный,основной,central,,,
case,случай,вариант,cases,,,
component,компонент,элемент,components,,,
target,цель,целевой узел,targets,,,
local,локальный,местный,local,,,
sample,пример,образец,samples,,,
fpga,FPGA,программируемая логическая матрица,fpga,,,
program,программа,утилита,programs,,,
full,полный,полноразмерный,full,,,
fusion,термоядерный синтез,fusion,fusion,,,
rio,RIO,реконфигурируемый ввод-вывод,rio,,,
operating,рабочий,операционный,operate,,operated,
functional,функциональный,рабочий,functional,,,
shutter,затвор,шторка,shutters,,,
centre,центр,центр управления,centre,,,
acquisition,сбор данных,прием данных,acquisitions,,,
integration,интеграция,объединение,integrations,,,
module,модуль,узел,modules,,,
psh,PSH,Plant System Host,psh,,,
plc,PLC,программируемый логический контроллер,plc,,,
server,сервер,служба,servers,,,
