headword,best_translation,alternatives,forms,examples,notes,transcription
glance,взгляд,беглый взгляд,glances|glanced|glancing,at a glance=>с первого взгляда,literary,
whisper,шёпот,шептать,whispers|whispered|whispering,a faint whisper=>тихий шёпот,literary,
gloom,мрак,уныние|полумрак,gloom,in the gloom=>во мраке,literary,
meadow,луг,поляна,meadows,green meadow=>зелёный луг,literary,
lantern,фонарь,лампа,lanterns,lantern light=>свет фонаря,literary,
shore,берег,побережье,shores,rocky shore=>каменистый берег,literary,
wander,бродить,скитаться,wanders|wandered|wandering,wander through the forest=>бродить по лесу,literary,
fate,судьба,рок,fate,twist of fate=>поворот судьбы,literary,
gentle,нежный,мягкий|ласковый,gentler|gentlest,gentle voice=>нежный голос,literary,
sorrow,печаль,горе|скорбь,sorrow,deep sorrow=>глубокая печаль,literary,
dawn,рассвет,заря,dawn,before dawn=>до рассвета,literary,
twilight,сумерки,полумрак,twilight,at twilight=>в сумерках,literary,
